feature,mean_abs_shap
height,0.1862597691678496
othsysep_Systemic Sepsis,0.09624424599674969
ped_sap_name3_nan,0.0833789850838703
ostomy,0.07687091385924003
ped_spn_post_neurodeftype_nan,0.05868229167504358
bmi_quality_flag,0.039197949426422456
ethnicity_hispanic_Yes,0.03635855189012089
surgane,0.02534924089061684
crd_icd9_1,0.02501884548823759
prcreat,0.024068314537154325
nutrition_at_discharge,0.022125499468765766
optime,0.02182321613779888
podiag,0.021578817041221086
wndinf,0.0198062340442217
ped_sap_intraop_findings,0.01924663349942521
othercpt2,0.01896952305152892
bleed_ml_tot,0.018947657371003415
prwbc,0.01877621235650912
prhct,0.018583127809490133
race_Black or African American,0.01843536292044401
ped_spn_post_trnsvol_allogen,0.01807087376641297
yrdeath,0.01803531032715564
dpatrm,0.017301896737111088
caseid,0.016408907953800837
pralkph,0.015127743755539698
surgspec_Pediatric Orthopedic Surgery,0.014088849719053411
othercpt6,0.013743115571815538
ped_sap_allergy,0.013541089255953261
anesurg,0.013324803547913329
race_White,0.013209649017448854
prbun,0.011781647879171228
transt_Admitted from home/clinic/doctor's office,0.011384337228969057
acq_abnormality,0.011229423383089349
prsgot,0.01101011902467346
anetime,0.01044180594251459
ped_spn_antibio_wnd,0.010393902475312465
bleeding_allogeneic,0.010197410066352946
ped_spn_trnsvol_allogen,0.00963415777748585
prpt,0.009362509842181833
ped_sap_name3_Vancomycin,0.009077243053449854
othercpt3,0.008248586655149394
ped_sap_timelast,0.008231877158788722
pralbum,0.008186061664648659
asthma,0.008034292752201107
age_days,0.007959353999054907
prptt,0.007956114500504017
othercpt1,0.007625072553032668
prplate,0.0075853296566728
ped_sap_time1,0.007073226225364997
othercpt4,0.0067661635339033984
inout_Outpatient,0.006575619272539493
weight,0.006502499102716813
donvent48hrs,0.00585935020319054
esovar,0.005556154838118493
operyr,0.005468039805999786
othercpt9,0.005376267380327804
ped_sap_finish,0.00534953187829384
tothlos,0.0051244468875695885
tracheostomy,0.005057830558051591
race_Unknown/Not Reported,0.005027230709242032
used_vancomycin,0.0047753172922817
ped_spn_trnsvol_cell,0.004724577745599704
ped_sap_time2,0.004683454194267581
prsodm,0.0045817414761477925
prbili,0.004490649921820864
cpt,0.004455882850568395
nonvent48hrs,0.0043578437745138655
oupneumo_Pneumonia,0.004345401904835585
combo_abx_regimen_cefazolin_vancomycin,0.004234253610951251
ethnicity_hispanic_Unkn,0.004206210094033502
othseshock_Septic Shock,0.004110150729745157
bleeding_autologous,0.004042470429746295
dothbleed,0.003751961393773282
prsepis_nan,0.003578245350349399
prinr,0.0035137397251385188
used_cefoxitin,0.003500262976244557
transt_Home/Permanent Residence,0.0034524448471304767
workrvu,0.0034373161313009247
ped_spn_neuromon,0.0032089074963071503
ped_sap_name3_Metronidazole _Flagyl_,0.003167039510961064
daysinicu,0.0030266642932197363
dreintub,0.0027449454943916656
othercpt5,0.002685148816728005
othercpt7,0.00229481906632417
ped_sap_name2_Cefepime _Maxipime_,0.0021948979420044813
nutr_support,0.002155212119539007
ped_sap_name2_Gentamicin _Garamycin_,0.0019252903458705803
asaclas_ASA 2 – Mild Systemic D,0.0018287364611837215
impcogstat,0.0017911749915376699
pufyear,0.001655000549248429
crf_No cardiac risk factors,0.001651540374133663
cerebral_palsy,0.0016428380645593186
ped_sap_name1_CeFAZoLin _Kefzol_,0.0016290277187230586
ped_spn_icudays_2 days,0.00154194146407456
hdisdt,0.00151796871114345
othercpt8,0.0014963385904582034
combo_abx_regimen_cefazolin_gentamicin_vancomycin,0.001455633544626044
used_cefazolin,0.0013955911151793043
used_clindamycin,0.0013747522428117327
used_gentamicin,0.0013664095616013065
hxcld,0.0013151471934169183
durninfec,0.001285459758522944
surgspec_Orthopedics,0.0012599333206736354
crf_Minor cardiac risk factors,0.0012591865159050082
prem_birth_35-36 completed weeks gestation,0.0012588270908613214
ped_spn_priorop,0.0012574213347205172
ped_sap_name2_Clindamycin _Cleocin_,0.0012002431081869721
used_ceftazidime,0.0011900372067768894
struct_pulm_ab,0.001182263116185772
onvent48hrs_On Ventilator _ 48 hours,0.001100862200487302
asaclas_ASA 3 – Severe Systemic,0.0010358605536259136
ped_sap_time3,0.0009824536625442908
"prncptx_ARTHRODESIS, POSTERIOR, FOR SPINAL DEFORMITY, WITH OR WITHOUT CAST; 7 TO 12 VERTEBRAL SEGMENTS",0.0009238108224795663
prem_birth_29-30 completed weeks gestation,0.0008853367271380543
ped_sap_name1_CefTRIAXone _Rocephin_,0.0008513124960111081
combo_abx_regimen_cefazolin_gentamicin,0.0008447379115014783
combo_abx_regimen_cefazolin_ceftazidime_vancomycin,0.0008038728470423347
ped_sap_name2_CefTAZidime _Fortaz/Tazicef_,0.0007959050116707461
asaclas_ASA 4 – Severe Systemic,0.0007830427700135934
oxygen_sup,0.0007633902945515937
prem_birth_31-32 completed weeks gestation,0.0007502619982012682
race_Asian,0.0006834218681230319
ped_spn_icudays_1 day,0.0006672484940159656
dischdest_Home/Permanent Residence,0.0006613255492882707
