feature,mean_abs_shap
prday1,0.7846704592626685
totchg,0.3577226592622478
age,0.2888482690883088
i10_npr,0.23430602382811697
aprdrg_severity,0.21274438778542434
comorbidity_blood_disorders,0.12996546646579218
comorbidity_abnormal_findings,0.12609330182513703
i10_ndx,0.10968926052415229
hosp_bedsize,0.06414876799525514
pl_nchs,0.057845284660775036
comorbidity_health_status,0.05394176874702108
comorbidity_nervous_system,0.05267377346682674
hosp_urcat4,0.03741164787436725
zipinc_qrtl,0.035592494123454624
comorbidity_injury,0.034753206841258884
aweekend,0.033434181200680195
comorbidity_external_causes,0.03288769435798084
elective,0.030870017536969604
dqtr,0.025098369494355684
pay1,0.02400972029793084
h_contrl,0.019487975878642736
comorbidity_digestive,0.018303442450585582
comorbidity_congenital,0.01424018354903471
comorbidity_mental_health,0.01307041144664728
comorbidity_respiratory,0.01274347287284553
comorbidity_circulatory,0.011573411976903564
hosp_ur_teach,0.011297324159243363
comorbidity_musculoskeletal,0.009955831036352857
resident,0.009519680932770903
female,0.008624467592908667
aprdrg_risk_mortality,0.00811766206722561
comorbidity_endocrine,0.00666958667879021
comorbidity_skin,0.006174378389565006
comorbidity_sensory_organs,0.005083011763852627
rehabtransfer,0.004857390639649054
comorbidity_perinatal,0.004722599428247616
samedayevent,0.004512775800407516
comorbidity_genitourinary,0.0032763033910098117
comorbidity_infectious,0.0028379143455301904
died,0.0013884592841191968
comorbidity_neoplasms,0.001359291147419626
comorbidity_special_codes,0.0005623349029951314
comorbidity_pregnancy,0.0003659811993276455
