feature,mean_abs_shap
otherproc1,0.01417733192686074
daysinicu,0.010511586019219999
ped_spn_trnsvol_cell,0.008723278259510482
ostomy,0.00859332338760896
anesurg,0.006938086834807195
pralbum,0.006847715732746697
dischdest_Home/Permanent Residence,0.00663007259058036
bleeding_allogeneic,0.005118211485223083
ped_sap_finish,0.00471642446442699
height,0.0046459385365492396
prhct,0.004353250033654689
dprsgot,0.004172478378520597
otherwrvu6,0.0038788846756645243
prsodm,0.0036689382449032817
asaclas_ASA 3 – Severe Systemic,0.0035820557045052343
readmrelicd101,0.0035788262383248354
otherwrvu5,0.00356069111590505
bleeding_autologous,0.003388676580436505
ped_spn_icudays_10 days,0.003305698873145849
othercpt6,0.003134308937645926
var00002,0.003090164276220746
othercpt4,0.0030263791348118813
seizure,0.0029552054339703968
conwrvu1,0.002868200838529194
otherwrvu7,0.0028003156428624207
otherwrvu2,0.0027909094046382242
ped_sap_time1,0.002697989867852077
prsgot,0.002680776769709312
othercpt5,0.002571228888351357
dprwbc,0.0025398721962050608
crd_icd9_1,0.002524132255378522
ped_spn_icudays_8 days,0.0025189198285806534
optime,0.0024621916104277334
ped_sap_time2,0.002298806796358967
othercpt7,0.0022775407972854917
dprna,0.002271094727867312
crd_icd9_2,0.0021480035248792047
otherwrvu3,0.002068679420174555
dprplate,0.0020161736263357853
ped_sap_timelast,0.002003403708775917
othercpt2,0.0019164766287594745
otherproc2,0.001890391928640895
dprpt,0.0018892093683698355
prcreat,0.0018713916475785258
crd_icd9_5,0.001828060815632077
dprcreat,0.001791759616544438
dpatrm,0.0017725043457415821
anetime,0.001649709619677512
prwbc,0.0016237564652950393
surgspec_Orthopedics,0.0015969358587710793
dprbun,0.0015927110675316213
combo_abx_regimen_cefazolin_gentamicin,0.0015832573163320404
ped_spn_trnsvol_allogen,0.0015684236756169235
dpralbum,0.001536946873999327
otherwrvu1,0.0015109503593394114
nutr_support,0.0015036159226782969
concurr1,0.001493864534288087
dprbili,0.0014066751598297257
othercpt9,0.0013840438737877426
sex,0.0013451312817272698
concurr6_MUSC MYOCUTANEOUS/FASCIOCUTANEOUS FLAP TRUNK,0.0013082588976223591
ped_spn_icudays_12 days,0.0012831030459446258
conwrvu3,0.0012768715746871806
readmpodays1,0.0012568750926534719
crd_icd9_4,0.001222586179277133
reoperation,0.0012218035243030626
otherwrvu4,0.0012115791324316726
otherwrvu10,0.0011998687401116024
prbun,0.0011860129762380949
otherproc3,0.001183994203106247
concurr5_REPAIR COMPLEX TRUNK EACH ADDITIONAL 5 CM/_,0.001182652348043976
otherproc10_OSTEOT SPI PST/PSTLAT APPR 1 VRT SGM EA VRT SGM,0.0011794364165247629
ethnicity_hispanic_Unkn,0.0011497148499107818
ethnicity_hispanic_Yes,0.0011403466867620058
dopertod,0.0011179306022635498
dprinr,0.001111291108963693
podiagtx10,0.0010866082235216556
ped_spn_post_trnsvol_allogen,0.0010700959853942164
otherproc9_PELVIC FIXATION OTHER THAN SACRUM,0.0010565559121068248
ped_sap_time3,0.0010149997052746036
reoporicd101,0.0009982774002302898
concpt1,0.0009902688762673981
bmi_quality_flag,0.0009413603768685754
otherwrvu9,0.0009158695336891285
cpt,0.0008297495711292095
othercpt8,0.0008261117593911756
ped_spn_antibio_wnd,0.0008258227824283868
tracheostomy,0.0007952819990683671
bmi,0.0007917492364465702
durninfec,0.0007732729761440139
prptt,0.0007612170480378106
ped_sap_name1_CeFAZoLin _Kefzol_,0.0007590258943402787
concurr4_STEREOTACTIC COMPUTER ASSISTED PX SPINAL,0.0007577925691570431
ped_spn_post_neurodeftype_Spinal cord injury,0.0007575222053110206
pufyear,0.0007537985315677233
concurr5_ARTHRODESIS POSTERIOR INTERBODY 1 NTRSPC EA ADDL,0.0007370229632844069
workrvu,0.0007171983301569019
dprhct,0.0006728548834110278
abxdataset,0.0006485118797517432
ostomy_type_Upper Gastrointestinal Tract,0.0006265511406418745
used_ceftazidime,0.0006243680946878135
donvent48hrs,0.0006157724107598231
pralkph,0.0006157263549038172
surgane,0.0006141605489733489
age_days,0.0006051902172274304
prpt,0.0005916102004941594
conwrvu2,0.0005877045449958097
otherproc9_AUTOGRAFT SPINE SURGERY LOCAL FROM SAME INCISION,0.0005805454370199119
asthma,0.0005750635308529433
combo_abx_regimen_cefazolin_metronidazole_vancomycin,0.0005675085412634642
concurr5_ARTHRODESIS POSTERIOR SPINAL DFRM 7-12 VRT SGM,0.0005657612707784537
retor2podays,0.0005545912184626355
otherproc4,0.0005540754975325578
concurr2,0.0005448575648260441
combo_abx_regimen_cefazolin_ceftriaxone_vancomycin,0.0005416136140565277
readmission4,0.0005345793491165222
retorpodays,0.0005331667503187485
prinr,0.0005251631621022891
otherproc8_OSTEOTOMY SPINE PST/PSTLAT APPR 1 VRT SGM LMBR,0.0005243885562484335
concpt2,0.0005195409887059994
"ostomy_type_Upper Gastrointestinal Tract,Lower Gastrointestinal Tract",0.0005165819195638226
dischdest_Expired,0.0005012942798177689
