feature,mean_abs_shap
height,0.029276179945463728
ostomy,0.010424267305877238
dpatrm,0.007113324529571466
transt_Admitted from home/clinic/doctor's office,0.006900774325526271
optime,0.006880150482865441
bmi_quality_flag,0.004798290403324431
prbun,0.004290789441737279
prpt,0.004162667575356903
bleed_ml_tot,0.00369535052898597
othsysep_Systemic Sepsis,0.0034039175564308352
surgane,0.0029545606123617704
crd_icd9_6,0.002895277208163811
crd_icd10_6,0.0028226984200913434
ped_sap_name3_nan,0.0028028689657646393
othercpt4,0.002674610387309865
crd_icd9_9,0.0026263403134944964
prhct,0.0026230782145872282
age_days,0.0026117325575097487
ped_spn_antibio_wnd,0.002430655650119904
crd_icd9_3,0.0024227476320827597
used_vancomycin,0.002378124307995748
pralkph,0.002304490434182019
bleeding_allogeneic,0.00229548831519993
prcreat,0.002160461722469754
crd_icd9_2,0.0020919182875115284
anetime,0.0020283885583268677
surgspec_Pediatric Orthopedic Surgery,0.0019049969347198486
crd_icd10_5,0.0018259187457971625
prbili,0.0018045502738824378
othercpt1,0.0017871682202279806
ped_spn_trnsvol_cell,0.0017755835782098629
prwbc,0.0017481639023626608
bleeding_autologous,0.001732450904811583
crd_icd10_2,0.0017297001926313157
prsgot,0.0016330667522303783
ethnicity_hispanic_Unkn,0.0016296050457732367
crd_icd9_10,0.0016176298218638701
othercpt2,0.00153002067009816
crd_icd9_4,0.0015006761721869121
crd_icd9_1,0.001447005988825874
ped_sap_timelast,0.0014090071109482106
crd_icd10_9,0.0013903268670666462
crd_icd10_1,0.0013797972781433936
nutrition_at_discharge,0.0013546580052983934
ped_sap_redosed,0.0012844610130075091
prinr,0.0012775649558935144
weight,0.0012566357523357838
combo_abx_regimen_cefazolin_vancomycin,0.0011726248481361183
crd_icd9_5,0.0011283817384584074
prem_birth_29-30 completed weeks gestation,0.0010929566844975957
prplate,0.0010899843433623735
crd_icd10_10,0.0010203736230899696
seizure,0.0009879417876414187
acq_abnormality,0.0009822676142318648
crd_icd10_7,0.0009756469363511399
othercpt6,0.0009042389516774035
hxcld,0.000902250774523835
caseid,0.0008601245805511738
oupneumo_Pneumonia,0.0008071044838391289
crd_icd9_7,0.000791498805381779
durninfec,0.0007744674131310404
crd_icd10_8,0.0007409523624002857
tracheostomy,0.0007305607033994984
ped_sap_name2_CefOXitin,0.0007233683546652217
othseshock_Septic Shock,0.0007060960478704153
onvent48hrs_On Ventilator _ 48 hours,0.0006893485365927855
podiag,0.0006819128276635216
crd_icd10_3,0.0006698459955198043
anesurg,0.0006696607505146426
impcogstat,0.000612367933971715
ped_sap_name3_CefTRIAXone _Rocephin_,0.0005754030054865825
ped_sap_name3_Vancomycin,0.0005738207073701788
ped_spn_neuromon,0.0005536747454322204
cpt,0.0005394867641159018
nonvent48hrs,0.0004848543771265194
daysinicu,0.0004689834447257892
race_Black or African American,0.00039341011679348446
ped_spn_trnsvol_allogen,0.0003900250359891619
ivh_grade_No IVH reported,0.0003886531146067722
ped_spn_post_neurodeftype_nan,0.0003391671102035102
ped_spn_post_trnsvol_allogen,0.00032402476215780075
ped_sap_time1,0.0003222658061210147
ped_sap_name3_Ceftizoxime sodium,0.0003221492823853895
combo_abx_regimen_cefazolin_gentamicin,0.00031922464671368933
used_clindamycin,0.00030532861381124136
ped_sap_name2_Other,0.0003040565127749505
used_ceftriaxone,0.0002991678638231309
