feature,mean_abs_shap
age,0.055620894983069734
totchg,0.02816190229441682
aprdrg_severity,0.02052601654490212
number_of_procedures_category,0.014674790336982662
female,0.0142627996424258
comorbidity_secondary,0.013063779503812942
pay1,0.010164100426567122
comorbidity_primary,0.009723528267913336
days_to_surgery,0.008204618564629678
pl_nchs,0.006872672495503551
h_contrl,0.0068413317700700485
hosp_bedsize,0.006528604430811378
hosp_urcat4,0.005139801802640645
zipinc_qrtl,0.0048145968908728885
dqtr,0.004167143256160827
aprdrg_risk_mortality,0.0037910729063484754
hosp_ur_teach,0.0034268867866784417
elective,0.0032474536284685827
resident,0.0015579233955380445
samedayevent,0.0011344923844293087
aweekend,0.0009021610992292518
rehabtransfer,0.0004315411388143458
died,0.0
